Date	ISIN	SecurityDescription	AggregateHoldingOfFPIS	OutstandingPositionOfGovtSecurities	SecHoldings
20180601	IN0020080068	06.05 GS 2019 FEB	2.5	53000	0.01
20180601	IN0020120039	08.33 GS 2026	3134.41	90000	3.48
20180601	IN0020150093	07.59 GS 2026	3551.348	96000	3.7
20180601	IN0020092071	GOI FRB 2020	505	13000	3.89
20180601	IN0020090034	07.35 GS 2024	3609.89	90168.022	4
20180601	IN0020160019	07.61 GS 2030	3535.854	85000	4.16
20180601	IN0020140060	08.15 GS 2026	3936.55	86489.206	4.55
20180601	IN0020170174	07.17 GS 2028	2226.183	48000	4.64
20180601	IN0020150028	07.88 GS 2030	4613.719	89000	5.18
20180601	IN0020070051	08.13 GS 2022	3689.385	70495.28	5.23
20180601	IN0020130038	07.28 GS 2019	2833.789	53000	5.35
20180601	IN0020140011	08.60 GS 2028	4750.171	84000	5.66
20180601	IN0020140045	08.40 GS 2024	5389.898	90000	5.99
20180601	IN0020110048	09.15 GS 2024	6899.593	92000	7.5
20180601	IN0020070069	08.28 GS 2027	3099.35	89252.24	3.47
20180601	IN0020170026	06.79 GS 2027	9214.075	121000	7.62
20180601	IN0020120054	08.12 GS 2020	6473.777	76000	8.52
20180601	IN0020150036	07.72 GS 2025	7674.229	86000	8.92
20180601	IN0020140029	08.27 GS 2020	7468.963	73000	10.23
20180601	IN0020110030	08.79 GS 2021	9583.48	83000	11.55
20180601	IN0020120013	08.15 GS 2022	11064.685	83000	13.33
20180601	IN0020160050	06.84 GS 2022	12568.023	93000	13.51
20180601	IN0020130012	07.16 GS 2023	10490.36	77100	13.61
20180601	IN0020060037	08.20 GS 2022	8113.88	57632.33	14.08
20180601	IN0020110022	07.80 GS 2021	10363.767	66000	15.7
20180601	IN0020070028	08.08 GS 2022	10904.222	68969.411	15.81
20180601	IN0020150010	07.68 GS 2023	14526.888	88132.012	16.48
20180601	IN0020130061	08.83 GS 2023	15130.008	83000	18.23
20180601	IN0020180025	07.37 GS 2023	1145	6000	19.08
20180601	IN0020020072	08.35 GS 2022	6373.84	77000	8.28
20180601	IN0020100015	07.80 GS 2020	2468.93	75000	3.29
20180601	IN0020070044	08.32 GS 2032	18	89434.05	0.02
20180601	IN0020130079	09.23 GS 2043	1742.6	79472.28	2.19
20180601	IN0020160092	06.62 GS 2051	35	55000	0.06
20180601	IN0020090042	06.90 GS 2019	30.363	45000	0.07
20180601	IN0020020106	07.95 GS 2032	102	89000	0.12
